method,stage,window_id,candidate,latency_ms,sla_violation,reward
epsilon_greedy_bandit,processor,25,2,18.136020151133586,0,-18.136020151133586
epsilon_greedy_bandit,processor,26,2,18.136020151133586,0,-18.136020151133586
epsilon_greedy_bandit,processor,27,2,17.229219143576906,0,-17.229219143576906
epsilon_greedy_bandit,processor,28,2,17.229219143576906,0,-17.229219143576906
epsilon_greedy_bandit,processor,29,1,16.875,0,-16.875
epsilon_greedy_bandit,routing,0,0,304.4999999999998,0,-304.4999999999998
epsilon_greedy_bandit,routing,1,1,322.75140854297683,0,-322.75140854297683
epsilon_greedy_bandit,routing,2,2,333.2243819001711,0,-333.2243819001711
epsilon_greedy_bandit,routing,3,0,336.0,0,-336.0
epsilon_greedy_bandit,routing,4,0,336.0,0,-336.0
epsilon_greedy_bandit,routing,5,1,343.93691037735863,0,-343.93691037735863
epsilon_greedy_bandit,routing,6,0,344.0,0,-344.0
epsilon_greedy_bandit,routing,7,0,360.2999999999997,0,-360.2999999999997
epsilon_greedy_bandit,routing,8,0,351.75,0,-351.75
epsilon_greedy_bandit,routing,9,2,363.45902658995504,0,-363.45902658995504
epsilon_greedy_bandit,routing,10,1,349.6285377358489,0,-349.6285377358489
epsilon_greedy_bandit,routing,11,0,354.4000000000001,0,-354.4000000000001
epsilon_greedy_bandit,routing,12,1,327.85580450733727,0,-327.85580450733727
epsilon_greedy_bandit,routing,13,1,362.99934486373127,0,-362.99934486373127
epsilon_greedy_bandit,routing,14,0,356.8000000000002,0,-356.8000000000002
epsilon_greedy_bandit,routing,15,1,352.0678066037733,0,-352.0678066037733
epsilon_greedy_bandit,routing,16,0,333.5,0,-333.5
epsilon_greedy_bandit,routing,17,0,344.5,0,-344.5
epsilon_greedy_bandit,routing,18,0,348.0,0,-348.0
epsilon_greedy_bandit,routing,19,0,344.3499999999999,0,-344.3499999999999
epsilon_greedy_bandit,routing,20,0,347.7999999999997,0,-347.7999999999997
epsilon_greedy_bandit,routing,21,1,338.4259696016769,0,-338.4259696016769
epsilon_greedy_bandit,routing,22,1,345.56308962264137,0,-345.56308962264137
epsilon_greedy_bandit,routing,23,1,336.3480738993707,0,-336.3480738993707
epsilon_greedy_bandit,routing,24,1,349.8995676100627,0,-349.8995676100627
epsilon_greedy_bandit,routing,25,1,313.26536294549254,0,-313.26536294549254
epsilon_greedy_bandit,routing,26,1,334.45086477987394,0,-334.45086477987394
epsilon_greedy_bandit,routing,27,1,348.0927017819705,0,-348.0927017819705
epsilon_greedy_bandit,routing,28,1,343.03347746331207,0,-343.03347746331207
epsilon_greedy_bandit,routing,29,1,333.9088050314463,0,-333.9088050314463
